regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
13a_features_tempo_real__last__preco <= 27901.75,1,99,50.0,52,47,5,-13039.99999999578,99,20400.00000000582,13039.99999999578,1.8500000000002426,0.73780487804887,206.06060606066487,69.6969696969697,4879.999999998836,13279.999999998108,17272.68292682444
13a_features_tempo_real__last__preco <= 27865.528,1,66,33.33333333333333,38,28,10,-12159.999999997672,132,19520.000000007713,12159.999999997672,1.5545454545456736,0.442350332594301,147.8787878788463,66.66666666666666,6319.999999998981,11839.999999997963,17097.41019955354
13a_features_tempo_real__last__preco <= 27881.5,1,80,40.4040404040404,44,36,8,-12159.999999996944,118,19520.000000006985,12159.999999996944,1.6421052631581246,0.529910141206752,165.4237288136185,67.79661016949152,4879.999999998836,13279.999999998108,17085.946084720334
13a_features_tempo_real__last__preco <= 27934.05,1,119,60.1010101010101,59,60,-1,-12639.999999994325,79,20000.000000004366,12639.999999994325,2.0869565217393675,0.9747613997879949,253.16455696208058,70.88607594936708,4879.999999998836,13279.999999998108,15684.856839866461
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767,1,79,39.8989898989899,39,40,-1,-11039.99999999578,119,18400.00000000582,11039.99999999578,1.5348837209304018,0.4226885989790292,154.6218487395447,63.86554621848739,5519.999999998254,12639.99999999869,14209.613159382738
13a_features_tempo_real__last__preco <= 27961.495,1,132,66.66666666666666,64,68,-4,-10879.999999993743,66,18240.000000003783,10879.999999993743,2.2666666666669295,1.154471544715557,276.3636363636937,72.72727272727273,4559.999999999127,13599.999999997817,13428.682926822315
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.60099524,1,40,20.2020202020202,23,17,6,-9519.999999998254,158,16880.000000008295,9519.999999998254,1.3576271186442435,0.24543199669287086,106.83544303802718,62.65822784810127,9999.999999997817,8159.999999999127,12833.259198013671
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.48870926,1,66,33.33333333333333,34,32,2,-8959.999999996944,132,16320.000000006985,8959.999999996944,1.425000000000182,0.3128048780488093,123.63636363641655,63.63636363636363,6719.999999998254,11439.99999999869,12359.682926825772
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.93528101,1,79,39.8989898989899,40,39,1,-7279.999999996653,119,14640.000000006694,7279.999999996653,1.435714285714485,0.3235191637631123,123.02521008408986,64.70588235294117,6719.999999997526,11439.999999999418,10300.111498254315
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.81983595,1,50,25.252525252525253,26,24,2,-7359.999999997672,148,14720.000000007713,7359.999999997672,1.3285714285716008,0.21637630662022822,99.45945945951158,62.16216216216216,9359.999999996944,8800.0,10049.825783969809
