variavel,elegivel_regra,motivo
trade_id_13f,False,IGNORADA_EXATA
setup_id,False,IGNORADA_EXATA
cluster,False,IGNORADA_EXATA
lado,False,IGNORADA_EXATA
entrada_data_hora,False,IGNORADA_EXATA
saida_data_hora,False,IGNORADA_EXATA
entrada_preco,False,IGNORADA_EXATA
saida_preco,False,IGNORADA_EXATA
resultado_pontos,False,IGNORADA_EXATA
motivo_saida,False,IGNORADA_EXATA
mfe_pontos,False,IGNORADA_EXATA
mae_pontos,False,IGNORADA_EXATA
duracao_segundos,False,IGNORADA_EXATA
data_operacao,False,IGNORADA_EXATA
modo,False,IGNORADA_EXATA
ordem_real,False,IGNORADA_EXATA
classe_resultado,False,IGNORADA_EXATA
13a_features_tempo_real__last__adv_delta_spread_minimo_15s_30s,True,OK
13a_features_tempo_real__last__adv_ratio_volatilidade_close_pontos_15s_60s,False,PRECO_ABSOLUTO
13a_features_tempo_real__last__adv_z_pre_15s_spread_medio,True,OK
13a_features_tempo_real__last__pre_15s_spread_medio,True,OK
13a_features_tempo_real__last__pre_15s_spread_minimo,True,OK
13a_features_tempo_real__last__pre_30s_spread_minimo,True,OK
13a_features_tempo_real__last__cobertura_15s,True,OK
13a_features_tempo_real__last__cobertura_30s,True,OK
13a_features_tempo_real__last__cobertura_60s,True,OK
13a_features_tempo_real__last__pre_15s_volatilidade_close_pontos,False,PRECO_ABSOLUTO
13a_features_tempo_real__last__pre_60s_bid_size_medio_soma,False,PRECO_ABSOLUTO
13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos,False,PRECO_ABSOLUTO
13a_features_tempo_real__last__preco,False,PRECO_ABSOLUTO
13a_features_tempo_real__window__n,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__mean,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__min,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__max,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__first,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__last,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__delta,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__range,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__ret_pct,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__pos_range,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__dist_media,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__recuo_max,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__repique_min,True,OK
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__slope,True,OK
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__mean,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__min,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__max,False,PRECO_ABSOLUTO
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__std,True,OK
