fonte,colunas_extraidas,trades_com_dados,pct_cobertura
03_eventos_elementares_fluxo,35,207,100.0
04_campanhas_individuais,190,207,100.0
05_estrutura_eventos_enriquecidos,2316,207,100.0
06_evolucao_score_eventos,2297,207,100.0
07_bloqueios_auditoria_completa,1481,207,100.0
13a_features_tempo_real,355,207,100.0
13a_sinais,82,207,100.0
bloqueios_c7_dna_fluxo_v5_2,771,207,100.0
estado_mercado_tempo_real,228,207,100.0
estados_c7_dna_fluxo_v5_2,1660,207,100.0
invalidacoes_tese_sombra_v1,322,207,100.0
