regra_bloqueio,componentes,variaveis,validacao_temporal,score_rank,treino_trades_base,treino_trades_bloqueados,treino_losses_evitados,treino_gains_perdidos,treino_resultado_base,treino_resultado_novo,treino_melhoria_resultado,treino_pf_base,treino_pf_novo,treino_melhoria_pf,treino_dd_base,treino_dd_novo,treino_reducao_dd,treino_expectancia_nova,treino_winrate_novo,teste_trades_base,teste_trades_bloqueados,teste_losses_evitados,teste_gains_perdidos,teste_resultado_base,teste_resultado_novo,teste_melhoria_resultado,teste_pf_base,teste_pf_novo,teste_melhoria_pf,teste_dd_base,teste_dd_novo,teste_reducao_dd,teste_expectancia_nova,teste_winrate_novo,estabilidade_resultado,saldo_eventos_teste,tipo_regra,candidata_conservadora
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct >= 80.334631,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct,True,4115.272727271779,144,29,16,13,-2239.9999999928696,2640.0000000059663,4879.999999998836,0.9562500000001393,1.0687500000001553,0.11250000000001603,18159.999999996944,11279.99999999738,6879.999999999563,22.956521739182314,58.26086956521739,63,12,7,5,9520.000000003347,12000.00000000291,2479.9999999995634,1.540909090909281,2.0000000000002425,0.4590909090909614,5439.999999999418,4319.999999999709,1119.999999999709,235.29411764711588,70.58823529411765,2479.9999999995634,2,SIMPLES,True
(13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.61612943) E (13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct >= 80.334631),2,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta | 13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct,True,3919.2727272718303,144,27,15,12,-2239.9999999928696,2080.000000006112,4319.999999998981,0.9562500000001393,1.0530612244899518,0.0968112244898125,18159.999999996944,11839.999999997235,6319.999999999709,17.777777777830014,58.119658119658126,63,12,7,5,9520.000000003347,12000.00000000291,2479.9999999995634,1.540909090909281,2.0000000000002425,0.4590909090909614,5439.999999999418,4319.999999999709,1119.999999999709,235.29411764711588,70.58823529411765,2479.9999999995634,2,COMBINADA,True
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.61612943,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta,True,3415.2727272717793,144,29,15,14,-2239.9999999928696,640.0000000059663,2879.999999998836,0.9562500000001393,1.0163265306123972,0.06007653061225793,18159.999999996944,11839.999999997235,6319.999999999709,5.565217391356229,57.391304347826086,63,12,7,5,9520.000000003347,12000.00000000291,2479.9999999995634,1.540909090909281,2.0000000000002425,0.4590909090909614,5439.999999999418,4319.999999999709,1119.999999999709,235.29411764711588,70.58823529411765,2479.9999999995634,2,SIMPLES,True
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__repique_min >= 0.16557971,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__repique_min,True,1219.272727272437,144,15,9,6,-2239.9999999928696,640.0000000066939,2879.9999999995634,0.9562500000001393,1.0145454545456067,0.05829545454546747,18159.999999996944,16879.99999999738,1279.9999999995634,4.96124031012941,57.36434108527132,63,4,2,2,9520.000000003347,9680.000000003201,159.99999999985448,1.540909090909281,1.6050000000002,0.06409090909091897,5439.999999999418,4639.999999999418,800.0,164.06779661022375,66.10169491525424,159.99999999985448,0,SIMPLES,True
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std >= 0.13293458,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__std,False,3553.55844155654,144,72,30,42,-2239.9999999928696,-2719.9999999967986,-480.000000003929,0.9562500000001393,0.9000000000001177,-0.05625000000002156,18159.999999996944,9759.9999999984,8399.999999998545,-37.77777777773331,52.77777777777778,63,13,8,5,9520.000000003347,12800.00000000291,3279.9999999995634,1.540909090909281,2.1428571428574026,0.6019480519481215,5439.999999999418,3519.999999999709,1919.999999999709,256.0000000000582,72.0,-480.000000003929,3,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct >= 99.581129,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct,False,3262.2727272719203,144,15,7,8,-2239.9999999928696,-1439.9999999935972,799.9999999992724,0.9562500000001393,0.9684210526317194,0.012171052631580137,18159.999999996944,15039.999999997235,3119.999999999709,-11.162790697624784,55.81395348837209,63,10,6,4,9520.000000003347,12400.00000000291,2879.9999999995634,1.540909090909281,1.9687500000002274,0.4278409090909463,5439.999999999418,4319.999999999709,1119.999999999709,233.96226415099832,69.81132075471697,799.9999999992724,2,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__delta <= -0.25,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__delta,False,3137.9393939388156,144,17,7,10,-2239.9999999928696,5.820766091346741e-09,2239.9999999986903,0.9562500000001393,1.0000000000001277,0.04374999999998841,18159.999999996944,18719.999999997526,-560.0000000005821,4.583280386887198e-11,55.118110236220474,63,6,4,2,9520.000000003347,11280.000000003201,1759.9999999998545,1.540909090909281,1.7833333333335557,0.24242424242427463,5439.999999999418,3839.999999999418,1600.0,197.89473684216142,68.42105263157895,1759.9999999998545,2,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.71244615,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta,False,3127.2727272721263,144,15,7,8,-2239.9999999928696,-1439.9999999935972,799.9999999992724,0.9562500000001393,0.9684210526317194,0.012171052631580137,18159.999999996944,15039.999999997235,3119.999999999709,-11.162790697624784,55.81395348837209,63,6,4,2,9520.000000003347,12240.000000003056,2719.999999999709,1.540909090909281,1.8500000000002121,0.30909090909093107,5439.999999999418,4879.999999999563,559.9999999998545,214.73684210531678,68.42105263157895,799.9999999992724,2,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct >= 33.803195,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct,False,3020.9870129836936,144,72,36,36,-2239.9999999928696,5440.0000000037835,7679.999999996653,0.9562500000001393,1.2428571428573119,0.2866071428571726,18159.999999996944,3519.9999999982538,14639.99999999869,75.55555555560811,61.111111111111114,63,35,15,20,9520.000000003347,10960.00000000131,1439.9999999979627,1.540909090909281,2.957142857143091,1.4162337662338098,5439.999999999418,1919.999999999709,3519.999999999709,391.4285714286182,75.0,1439.9999999979627,-5,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__first >= 0.15190476,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__first,False,2558.5668449189625,144,29,16,13,-2239.9999999928696,5520.00000000553,7759.999999998399,0.9562500000001393,1.143750000000144,0.18750000000000466,18159.999999996944,15039.999999997963,3119.9999999989814,48.00000000004808,58.26086956521739,63,10,5,5,9520.000000003347,9440.000000003056,-80.00000000029104,1.540909090909281,1.6941176470590482,0.15320855614976714,5439.999999999418,3839.999999999418,1600.0,178.11320754722746,67.9245283018868,-80.00000000029104,0,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct >= 42.902164,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__ret_pct,False,2090.54545454296,144,58,31,27,-2239.9999999928696,5520.000000004802,7759.999999997672,0.9562500000001393,1.209090909091091,0.2528409090909518,18159.999999996944,4479.999999998108,13679.999999998836,64.18604651168374,61.627906976744185,63,27,11,16,9520.000000003347,10640.0000000016,1119.9999999982538,1.540909090909281,2.209090909091091,0.66818181818181,5439.999999999418,3599.9999999992724,1840.0000000001455,295.5555555556,69.44444444444444,1119.9999999982538,-5,SIMPLES,False
13a_features_tempo_real__last__pre_30s_spread_minimo >= 1.0729167,1,13a_features_tempo_real__last__pre_30s_spread_minimo,False,1860.2727272709217,144,72,32,40,-2239.9999999928696,-2559.9999999962165,-320.00000000334694,0.9562500000001393,0.9000000000001478,-0.056249999999991473,18159.999999996944,9759.999999999127,8399.999999997817,-35.555555555503005,55.55555555555556,63,12,6,6,9520.000000003347,10960.000000002765,1439.999999999418,1.540909090909281,1.856250000000216,0.31534090909093493,5439.999999999418,2479.9999999995634,2959.9999999998545,214.90196078436793,68.62745098039215,-320.00000000334694,0,SIMPLES,False
13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.40870072,1,13a_features_tempo_real__pre60__adv_ratio_volatilidade_close_pontos_15s_60s__delta,False,1844.7272727244954,144,58,31,27,-2239.9999999928696,6480.000000004657,8719.999999997526,0.9562500000001393,1.245454545454722,0.28920454545458263,18159.999999996944,5279.999999998108,12879.999999998836,75.34883720935647,61.627906976744185,63,28,11,17,9520.000000003347,10400.000000001455,879.9999999981083,1.540909090909281,2.1818181818183473,0.6409090909090662,5439.999999999418,3839.999999999418,1600.0,297.1428571428987,68.57142857142857,879.9999999981083,-6,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__slope >= 0.010419813,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__slope,False,1787.2727272725388,144,14,6,8,-2239.9999999928696,-3199.9999999934516,-960.0000000005821,0.9562500000001393,0.9310344827587618,-0.025215517241377494,18159.999999996944,17039.999999997235,1119.999999999709,-24.615384615334243,55.38461538461539,63,2,2,0,9520.000000003347,11120.000000003347,1600.0,1.540909090909281,1.6950000000002092,0.15409090909092815,5439.999999999418,4639.999999999418,800.0,182.29508196726798,67.21311475409836,-960.0000000005821,2,SIMPLES,False
13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__first >= 0.25,1,13a_features_tempo_real__pre60__adv_delta_spread_minimo_15s_30s__first,False,1671.272727272149,144,17,7,10,-2239.9999999928696,5.820766091346741e-09,2239.9999999986903,0.9562500000001393,1.0000000000001277,0.04374999999998841,18159.999999996944,18719.999999997526,-560.0000000005821,4.583280386887198e-11,55.118110236220474,63,7,4,3,9520.000000003347,10080.000000003201,559.9999999998545,1.540909090909281,1.7000000000002222,0.15909090909094115,5439.999999999418,3839.999999999418,1600.0,180.00000000005716,67.85714285714286,559.9999999998545,1,SIMPLES,False
13a_features_tempo_real__last__pre_15s_spread_minimo >= 1.1583333,1,13a_features_tempo_real__last__pre_15s_spread_minimo,False,1608.91978609439,144,72,33,39,-2239.9999999928696,400.000000003638,2639.9999999965075,0.9562500000001393,1.0161290322582113,0.05987903225807201,18159.999999996944,8719.999999998981,9439.999999997963,5.555555555606083,56.94444444444444,63,11,5,6,9520.000000003347,10160.000000002765,639.9999999994179,1.540909090909281,1.7470588235296152,0.2061497326203341,5439.999999999418,3279.9999999995634,2159.9999999998545,195.38461538466856,67.3076923076923,639.9999999994179,-1,SIMPLES,False
