filtro;tp;sl;protecao_pct;trades;gains;losses;protegidos;timeouts;fim_dados;positivos;negativos;taxa_gain_pct;taxa_sem_loss_pct;resultado_total;media_trade;profit_factor;drawdown_max;maior_seq_losses;tempo_medio_s;sinais_ignorados_posicao_aberta
TODAS;2000;1200;0.6;272;119;118;23;12;0;126;123;43,75;56,61764705882353;101350,0;372,6102941176471;1,7018698060941828;-20475,0;9;1216,702205882353;52
TODAS;1800;1200;0.6;284;134;121;17;12;0;141;126;47,183098591549296;57,394366197183096;100950,0;355,4577464788732;1,6820945945945946;-20675,0;9;1153,2007042253522;40
TODAS;2000;1200;0.5;273;118;117;26;12;0;125;122;43,223443223443226;57,142857142857146;100550,0;368,31501831501834;1,7021648044692737;-20475,0;9;1209,989010989011;51
TODAS;1800;1200;0.5;287;133;120;22;12;0;140;125;46,34146341463415;58,18815331010453;100350,0;349,65156794425087;1,68358310626703;-20675,0;9;1141,560975609756;37
TODAS;1800;1200;0.7;284;134;122;16;12;0;141;127;47,183098591549296;57,04225352112676;99750,0;351,2323943661972;1,6685656836461127;-20675,0;9;1154,9366197183099;40
TODAS;1600;1200;0.5;294;150;120;15;9;0;155;124;51,02040816326531;59,183673469387756;98325,0;334,4387755102041;1,67380503683399;-15600,0;9;1091,4761904761904;30
TODAS;2000;1200;0.7;271;119;121;19;12;0;126;126;43,91143911439114;55,35055350553505;97750,0;360,7011070110701;1,660472972972973;-20475,0;9;1220,9667896678966;53
TODAS;2000;1200;0.8;271;120;123;16;12;0;127;128;44,28044280442804;54,61254612546126;97350,0;359,2250922509225;1,6472739361702127;-19675,0;9;1223,328413284133;53
TODAS;1600;1200;0.7;291;150;121;10;10;0;155;126;51,54639175257732;58,419243986254294;96250,0;330,7560137457045;1,650337837837838;-16475,0;9;1104,893470790378;33
TODAS;1800;1200;0.8;283;134;126;11;12;0;141;131;47,34982332155477;55,477031802120145;94950,0;335,51236749116606;1,6165584415584415;-20675,0;9;1158,8480565371024;41
TODAS;1600;1200;0.6;292;149;121;12;10;0;154;126;51,02739726027397;58,56164383561644;94650,0;324,14383561643837;1,639527027027027;-16475,0;9;1100,7739726027398;32
TODAS;1800;1200;SEM_PROTECAO;282;137;132;0;13;0;145;137;48,58156028368794;53,191489361702125;94200,0;334,0425531914894;1,5843672456575681;-21275,0;9;1174,6099290780141;42
TODAS;1600;1200;0.8;291;150;123;8;10;0;155;128;51,54639175257732;57,7319587628866;93850,0;322,5085910652921;1,624002659574468;-16475,0;9;1107,3745704467353;33
