entrada_hora;entrada_preco;lado;tp;sl;protecao_pct;protegido_ativado;mfe;mae;score_entrada;score_oposto;diferenca_score;ajuste_estrutura;estrutura;estrutura_bruta;saida_hora;saida_preco;tempo_s;status;resultado_mt5;mfe_mt5;mae_mt5
2026-07-17 17:45:02;28764,0;COMPRA;2000;1200;0,6;True;1525,0;0,0;100;12;88;8;ALTA;BAIXA;2026-07-19 19:00:25;28779,25;177323,0;TIMEOUT;1525,0;1525,0;0,0
2026-07-19 19:02:21;28803,0;VENDA;2000;1200;0,6;True;2325,0;0,0;100;0;100;12;BAIXA;BAIXA;2026-07-19 19:03:06;28779,75;45,0;GAIN;2000,0;2325,0;0,0
2026-07-19 19:07:21;28724,5;VENDA;2000;1200;0,6;False;25,0;-2125,0;100;0;100;12;BAIXA;BAIXA;2026-07-19 19:15:41;28745,75;500,0;LOSS;-1200,0;25,0;-2125,0
2026-07-19 19:16:28;28753,5;COMPRA;2000;1200;0,6;True;4550,0;0,0;100;2;98;8;ALTA;BAIXA;2026-07-19 19:20:44;28799,0;256,0;GAIN;2000,0;4550,0;0,0
2026-07-19 19:24:49;28786,5;VENDA;2000;1200;0,6;True;2100,0;0,0;100;0;100;12;BAIXA;BAIXA;2026-07-19 19:26:35;28765,5;106,0;GAIN;2000,0;2100,0;0,0
2026-07-19 19:26:46;28773,75;COMPRA;2000;1200;0,6;True;3350,0;-875,0;97;12;85;-2;BAIXA;ALTA;2026-07-19 19:33:29;28807,25;403,0;GAIN;2000,0;3350,0;-875,0
2026-07-19 19:36:15;28815,75;VENDA;2000;1200;0,6;False;0,0;-3325,0;100;0;100;12;BAIXA;BAIXA;2026-07-19 19:44:27;28849,0;492,0;LOSS;-1200,0;0,0;-3325,0
2026-07-19 19:46:14;28840,75;COMPRA;2000;1200;0,6;False;0,0;-2850,0;97;12;85;-2;BAIXA;ALTA;2026-07-19 19:59:17;28812,25;783,0;LOSS;-1200,0;0,0;-2850,0
2026-07-19 20:06:17;28815,5;COMPRA;2000;1200;0,6;True;1700,0;-250,0;93;12;81;-6;BAIXA;TRANSICAO;2026-07-19 20:14:20;28813,0;483,0;PROTEGIDO;0,0;1700,0;-250,0
2026-07-19 20:26:54;28802,0;VENDA;2000;1200;0,6;False;0,0;-2825,0;85;12;73;-6;ALTA;TRANSICAO;2026-07-19 20:35:58;28830,25;544,0;LOSS;-1200,0;0,0;-2825,0
2026-07-19 20:37:44;28812,75;VENDA;2000;1200;0,6;False;0,0;-3600,0;100;0;100;12;BAIXA;BAIXA;2026-07-19 20:43:04;28848,75;320,0;LOSS;-1200,0;0,0;-3600,0
2026-07-19 20:43:15;28855,5;COMPRA;2000;1200;0,6;False;0,0;-2950,0;100;0;100;12;ALTA;ALTA;2026-07-19 20:46:02;28826,0;167,0;LOSS;-1200,0;0,0;-2950,0
